code,naam,niveau,indicator,jaar,waarde
71016A71-,TERBOEKT,sector,screening,2024,0.627
71016A72K,KOEBAAN-NOORD,sector,screening,2020,0.541
71016A72K,KOEBAAN-NOORD,sector,screening,2021,0.561
71016A72K,KOEBAAN-NOORD,sector,screening,2022,0.627
71016A72K,KOEBAAN-NOORD,sector,screening,2023,0.645
71016A72K,KOEBAAN-NOORD,sector,screening,2024,0.581
71016A734,NIEUW SLEDDERLO,sector,screening,2020,0.462
71016A734,NIEUW SLEDDERLO,sector,screening,2021,0.474
71016A734,NIEUW SLEDDERLO,sector,screening,2022,0.463
71016A734,NIEUW SLEDDERLO,sector,screening,2023,0.502
71016A734,NIEUW SLEDDERLO,sector,screening,2024,0.484
71016A775,KLEIN LANGERLO,sector,screening,2020,0.4
71016A775,KLEIN LANGERLO,sector,screening,2021,0.455
71016A775,KLEIN LANGERLO,sector,screening,2022,0.556
71016A775,KLEIN LANGERLO,sector,screening,2023,0.4
71016A775,KLEIN LANGERLO,sector,screening,2024,0.643
71016A791,MEIBOS,sector,screening,2020,0.385
71016A791,MEIBOS,sector,screening,2021,0.44
71016A791,MEIBOS,sector,screening,2022,0.48
71016A791,MEIBOS,sector,screening,2023,0.5
71016A791,MEIBOS,sector,screening,2024,0.577
71016A800,GELIEREN - HOOGZIJ,sector,screening,2020,0.598
71016A800,GELIEREN - HOOGZIJ,sector,screening,2021,0.596
71016A800,GELIEREN - HOOGZIJ,sector,screening,2022,0.613
71016A800,GELIEREN - HOOGZIJ,sector,screening,2023,0.631
71016A800,GELIEREN - HOOGZIJ,sector,screening,2024,0.63
71016A890,KATTEVENNE,sector,screening,2020,0.667
71016A890,KATTEVENNE,sector,screening,2021,0.583
71016A890,KATTEVENNE,sector,screening,2022,0.727
71016A890,KATTEVENNE,sector,screening,2023,0.385
71016A890,KATTEVENNE,sector,screening,2024,0.5
71016A912,CAETSBEEK,sector,screening,2020,0.596
71016A912,CAETSBEEK,sector,screening,2021,0.617
71016A912,CAETSBEEK,sector,screening,2022,0.599
71016A912,CAETSBEEK,sector,screening,2023,0.566
71016A912,CAETSBEEK,sector,screening,2024,0.547
71016B11-,OUD-WATERSCHEI,sector,screening,2020,0.537
71016B11-,OUD-WATERSCHEI,sector,screening,2021,0.533
