code,naam,niveau,indicator,jaar,waarde
71016B23K,OUD-DRIEHOEVEN,sector,demografie_0_19,2025,23.03
71016B23K,OUD-DRIEHOEVEN,sector,demografie_20_64,2025,66.86
71016B242,NIEUWE KEMPEN,sector,demografie_65plus,2025,17.98
71016B242,NIEUWE KEMPEN,sector,demografie_0_19,2025,20.15
71016B242,NIEUWE KEMPEN,sector,demografie_20_64,2025,61.87
71016B29L,ZWARTBERG INDUSTRIE,sector,demografie_65plus,2025,0.0
71016B29L,ZWARTBERG INDUSTRIE,sector,demografie_0_19,2025,23.4
71016B29L,ZWARTBERG INDUSTRIE,sector,demografie_20_64,2025,76.6
71016B2AA,ZWARTBERG-ZUID,sector,demografie_65plus,2025,12.04
71016B2AA,ZWARTBERG-ZUID,sector,demografie_0_19,2025,23.31
71016B2AA,ZWARTBERG-ZUID,sector,demografie_20_64,2025,64.65
71016B2BA,NIEUW-DRIEHOEVEN,sector,demografie_65plus,2025,17.87
71016B2BA,NIEUW-DRIEHOEVEN,sector,demografie_0_19,2025,19.2
71016B2BA,NIEUW-DRIEHOEVEN,sector,demografie_20_64,2025,62.93
71016A001,GENK-CENTRUM,sector,inkomen_mediaan,2023,26704.0
71016A001,GENK-CENTRUM,sector,inkomen_gemiddeld,2023,33948.0
71016A010,MOLENBLOOK,sector,inkomen_mediaan,2023,39180.0
71016A010,MOLENBLOOK,sector,inkomen_gemiddeld,2023,55159.0
71016A02-,VLAKVELD,sector,inkomen_mediaan,2023,25277.0
71016A02-,VLAKVELD,sector,inkomen_gemiddeld,2023,30674.0
71016A03-,GENK-CENTRUM - NOORD,sector,inkomen_mediaan,2023,29760.0
71016A03-,GENK-CENTRUM - NOORD,sector,inkomen_gemiddeld,2023,39534.0
71016A04-,BRETHEI,sector,inkomen_mediaan,2023,35728.0
71016A04-,BRETHEI,sector,inkomen_gemiddeld,2023,47514.0
71016A0PA,MELBERG-NATUUR,sector,inkomen_mediaan,2023,26884.0
71016A0PA,MELBERG-NATUUR,sector,inkomen_gemiddeld,2023,33004.0
71016A20-,KOLDERBOS,sector,inkomen_mediaan,2023,23048.0
71016A20-,KOLDERBOS,sector,inkomen_gemiddeld,2023,26767.0
71016A210,LANGERLO,sector,inkomen_mediaan,2023,31973.0
71016A210,LANGERLO,sector,inkomen_gemiddeld,2023,45134.0
71016A292,FLETERSDEL,sector,inkomen_mediaan,2023,38880.0
71016A292,FLETERSDEL,sector,inkomen_gemiddeld,2023,49279.0
71016A300,WINTERSLAG - TUINWIJK I,sector,inkomen_mediaan,2023,28577.0
71016A300,WINTERSLAG - TUINWIJK I,sector,inkomen_gemiddeld,2023,33435.0
71016A310,OUD-WINTERSLAG,sector,inkomen_mediaan,2023,33872.0
71016A310,OUD-WINTERSLAG,sector,inkomen_gemiddeld,2023,42682.0
71016A370,WINTERSLAG KOOLMIJN,sector,inkomen_mediaan,2023,38857.0
71016A370,WINTERSLAG KOOLMIJN,sector,inkomen_gemiddeld,2023,40774.0
71016A41-,HASSELTWEG,sector,inkomen_mediaan,2023,36481.0
71016A41-,HASSELTWEG,sector,inkomen_gemiddeld,2023,42347.0
71016A42-,WINTERSLAG - TUINWIJK II & IV,sector,inkomen_mediaan,2023,25402.0
