code,naam,niveau,parent_code,is_campagnebuurt,kleur
71016B27K,WOLFSBERG INDUSTRIE,sector,Noord,,
71016B29K,ZWARTBERG PARK,sector,Noord,,
71016B29L,ZWARTBERG INDUSTRIE,sector,Noord,,
71016B29M,ZWARTBERG VLIEGVELD,sector,Noord,,
71016B2AA,ZWARTBERG-ZUID,sector,Noord,,
71016B2BA,NIEUW-DRIEHOEVEN,sector,Noord,,
71016A02-,VLAKVELD,sector_2024,/,,
71016A081,STIEMERBEEK,sector_2024,/,,
71016A310,OUD-WINTERSLAG,sector_2024,West,,
71016A370,WINTERSLAG KOOLMIJN,sector_2024,West,,
71016A41-,HASSELTWEG,sector_2024,/,,
71016A4OB,BOXBERGHEIDE,sector_2024,West,,
71016A500,OUD-TERMIEN,sector_2024,/,,
71016A590,DE MATEN,sector_2024,/,,
71016A700,OUD SLEDDERLO,sector_2024,/,,
71016A723,KOEBAAN,sector_2024,/,,
71016B1BB,WATERSCHEI-NOORD,sector_2024,Oost,,
71016B1CB,NIEUW-TEXAS,sector_2024,Oost,,
71016B201,ZWARTBERG - TUINWIJK-NOORD,sector_2024,Noord,,
71016B220,HOEVENZAVEL,sector_2024,Noord,,
71016B222,HOEVENZAVEL,sector_2024,Noord,,
71016B233,DRIEHOEVEN,sector_2024,Noord,,
71016B273,WOLFSBERG,sector_2024,Noord,,
71016B29-,ZWARTBERG-KOOLMIJN-VLIEGVELD,sector_2024,Noord,,
